,Unnamed: 0,country,year,population,gdp per capita nominal,gdp per capita ppp,iso_code,GNI,predicted_renewables_consumption
70,70,Colombia,2023,52321152,6962.873,20787.614,COL,6810.0,148.71075999999996
71,71,Comoros,2024,866628,1629.863,3860.618,COM,,0.0
72,72,Comoros,2023,850387,1540.685,3725.593,COM,1610.0,0.0
73,73,Congo,2024,6332961,2384.399,6403.607,COG,,0.0
74,74,Congo,2023,6182885,2308.52,6252.157,COG,2450.0,0.0
75,75,Costa Rica,2024,5129910,17860.414,29779.185,CRI,,2.43844
76,76,Costa Rica,2023,5105525,16390.222,28226.753,CRI,14260.0,1.7725499999999998
77,77,Croatia,2024,3875325,23380.437,48811.093,HRV,,15.967179999999994
78,78,Croatia,2023,3896023,21520.681,46005.225,HRV,20590.0,18.803189999999997
79,79,Cyprus,2024,1358282,37766.666,59857.876,CYP,,0.0
80,80,Cyprus,2023,1344976,35015.587,56628.363,CYP,32960.0,0.0
81,81,Denmark,2024,5977412,69273.048,83454.418,DNK,,59.23813999999997
82,82,Denmark,2023,5948136,68618.872,80210.524,DNK,73340.0,58.45556000000001
83,83,Djibouti,2024,1168722,4154.792,8600.896,DJI,,0.0
84,84,Djibouti,2023,1152944,3895.094,7988.555,DJI,3400.0,0.0
85,85,Dominica,2024,66205,9391.59,18390.67,DMA,,0.0
86,86,Dominica,2023,66510,8781.135,17265.606,DMA,9790.0,0.0
87,87,Dominican Republic,2024,11427557,11692.09,28949.585,DOM,,0.8069200000000001
88,88,Dominican Republic,2023,11331265,11372.125,27112.85,DOM,9710.0,0.41583
89,89,Ecuador,2024,18135478,6758.373,16515.535,ECU,,54.93103999999996
90,90,Ecuador,2023,17980083,6663.636,16192.853,ECU,6590.0,57.25488999999996
91,91,Egypt,2024,116538258,3541.75,20799.054,EGY,,33.08297000000002
92,92,Egypt,2023,114535772,3743.608,20180.861,EGY,3840.0,76.39052999999998
93,93,El Salvador,2024,6338193,5606.972,13172.75,SLV,,0.0
94,94,El Salvador,2023,6309624,5344.249,12546.846,SLV,4960.0,0.0
95,95,Equatorial Guinea,2024,1892516,8101.698,21750.628,GNQ,,0.0
96,96,Equatorial Guinea,2023,1847549,7755.011,20675.69,GNQ,4840.0,0.0
97,97,Estonia,2024,1360546,31530.969,48008.04,EST,,3.03629
98,98,Estonia,2023,1367196,30137.644,47127.95,EST,27620.0,3.118069999999999
99,99,Eswatini,2024,1242822,4375.286,12963.227,SWZ,,0.0
100,100,Eswatini,2023,1230506,4173.577,12232.255,SWZ,,0.0
101,101,Ethiopia,2024,132059767,1350.401,4045.132,ETH,,10.00303
102,102,Ethiopia,2023,128691692,1511.217,3783.947,ETH,,9.97415
103,103,Fiji,2024,928784,6256.634,16002.615,FJI,,0.0
104,104,Fiji,2023,924145,5933.167,15266.481,FJI,,0.0
105,105,Finland,2024,5617310,54773.988,64657.338,FIN,,92.84463999999997
106,106,Finland,2023,5601185,53130.693,63558.656,FIN,,92.84463999999997
107,107,France,2024,66548530,48011.828,65940.409,FRA,,364.48639
108,108,France,2023,66438822,46305.162,63880.888,FRA,,364.48639
109,109,Gabon,2024,2538952,9256.657,24128.778,GAB,,0.0
110,110,Gabon,2023,2484789,9079.278,23345.612,GAB,,0.0
111,111,Gambia,2024,2759988,988.881,3491.217,GMB,,0.0
112,112,Gambia,2023,2697845,892.989,3318.339,GMB,,0.0
113,113,Georgia,2024,3807670,8882.635,27363.366,GEO,,0.0
114,114,Georgia,2023,3807492,8172.574,24849.107,GEO,,0.0
115,115,Germany,2024,84552242,55521.345,70930.357,DEU,,625.4890500000002
116,116,Germany,2023,84548231,53565.041,69531.553,DEU,,625.4890500000002
117,117,Ghana,2024,34427414,2231.793,7975.131,GHA,,0.0
118,118,Ghana,2023,33787914,2322.121,7746.145,GHA,,0.0
119,119,Greece,2024,10047817,24341.505,42065.72,GRC,,10.321380000000003
120,120,Greece,2023,10242908,22880.296,40047.873,GRC,,11.24676
121,121,Grenada,2024,117207,12050.392,20305.806,GRD,,0.0
122,122,Grenada,2023,117081,11515.617,19358.429,GRD,,0.0
123,123,Guadeloupe,2024,375106,48011.828,65940.409,GLP,,0.52018
124,124,Guadeloupe,2023,376517,46305.162,63880.888,GLP,,0.52018
125,125,Guatemala,2024,18406359,6295.05,14791.412,GTM,,0.0
126,126,Guatemala,2023,18124838,5933.036,14158.391,GTM,,0.0
127,127,Guinea,2024,14754785,1652.312,4321.381,GIN,,0.0
128,128,Guinea,2023,14405468,1529.46,4156.733,GIN,,0.0
129,129,Guinea-Bissau,2024,2201352,1106.242,3110.196,GNB,,0.0
130,130,Guinea-Bissau,2023,2153339,1035.294,2954.584,GNB,,0.0
131,131,Guyana,2024,831087,28920.551,78666.763,GUY,,0.0
132,132,Guyana,2023,826353,21472.309,53584.551,GUY,,0.0
133,133,Haiti,2024,11772557,2120.413,3038.798,HTI,,0.0
134,134,Haiti,2023,11637398,1603.278,3132.982,HTI,,0.0
135,135,Honduras,2024,10825703,3446.298,7604.664,HND,,0.0
136,136,Honduras,2023,10644851,3267.648,7295.076,HND,,0.0
137,137,Hong Kong,2024,7414909,53164.778,75406.842,HKG,,0.38471000000000005
138,138,Hong Kong,2023,7442734,50586.78,71627.003,HKG,,0.40488
139,139,Hungary,2024,9676135,23881.429,46807.165,HUN,,5.045370000000002
140,140,Hungary,2023,9686463,22131.628,44960.952,HUN,,5.033190000000002
141,141,Iceland,2024,393396,85786.894,78808.044,ISL,,51.11552999999997
142,142,Iceland,2023,387558,83485.11,78250.289,ISL,,51.11552999999997
143,143,India,2024,1450935791,2697.563,11111.708,IND,,4212.056980000003
144,144,India,2023,1438069596,2497.188,10233.445,IND,,4212.056980000003
145,145,Indonesia,2024,283487931,4980.722,16542.109,IDN,,1253.4675999999993
146,146,Indonesia,2023,281190067,4919.949,15553.573,IDN,,1237.9437599999992
147,147,Iran,2024,91567738,5012.844,19606.813,IRN,,48.43365000000001
148,148,Iran,2023,90608707,4347.193,18658.141,IRN,,47.593150000000016
149,149,Iraq,2024,46042015,5947.315,14756.731,IRQ,,17.275340000000003
150,150,Iraq,2023,45074049,5826.035,14766.838,IRQ,,14.213000000000005
